site_plot,trial,seeds,germination_final,seeds_dark,seeds_light,seeds_infect,prop_germ,prop_dark,prop_light,site,plot,treatment,fungicide,plotf,sp,age,jul_severity,late_aug_severity,sep_severity
D1 2F,0,30,25,2,14,1,0.8333333333333334,0.06666666666666667,0.4666666666666667,D1,2,fungicide,1,D12f,Mv,seedling,0.01232302371805507,0.00266746978686881,0.02918501655847537
D1 2W,0,30,26,2,11,1,0.8666666666666667,0.06666666666666667,0.36666666666666664,D1,2,control,0,D12c,Mv,seedling,0.02286846130339777,0.02878958409120706,0.191726029312149
D1 9W,0,30,26,5,11,1,0.8666666666666667,0.16666666666666666,0.36666666666666664,D1,9,control,0,D19c,Mv,seedling,0.00489181662573757,0.00712638192953153,0.08247033318623821
D2 10W,0,30,29,14,16,1,0.9666666666666667,0.4666666666666667,0.5333333333333333,D2,10,control,0,D210c,Mv,seedling,0.00319729871503328,0.09752582363265884,0.2616679202972654
D2 1W,0,30,26,5,7,1,0.8666666666666667,0.16666666666666666,0.23333333333333334,D2,1,control,0,D21c,Mv,seedling,5.005438804057757e-4,0.00151597346131538,0.00180471393708622
D2 3F,0,21,16,1,10,1,0.7619047619047619,0.047619047619047616,0.47619047619047616,D2,3,fungicide,1,D23f,Mv,seedling,0.00354565454139703,0.00334546415336816,0.01543517818480981
D3 8W,0,30,28,3,9,1,0.9333333333333333,0.1,0.3,D3,8,control,0,D38c,Mv,seedling,9.710230720684732e-4,0.03283041216392068,0.08391468161797382
D3 9W,0,30,24,4,14,1,0.8,0.13333333333333333,0.4666666666666667,D3,9,control,0,D39c,Mv,seedling,4.655825999084707e-4,0.07103346406560383,0.6263069052827394
D4 5F,0,30,26,1,11,1,0.8666666666666667,0.03333333333333333,0.36666666666666664,D4,5,fungicide,1,D45f,Mv,seedling,3.802572789170694e-4,0.00219338621096522,0.00335171606114369
D4 8W,0,30,23,8,7,1,0.7666666666666667,0.26666666666666666,0.23333333333333334,D4,8,control,0,D48c,Mv,seedling,6.18522407143674e-4,0.03681182846819435,0.19169097432067875
D1 1W,0,30,29,4,10,1,0.9666666666666667,0.13333333333333333,0.3333333333333333,D1,1,control,0,D11c,Mv,seedling,0.00142286217881188,0.03090062565907514,0.2108592619776045
D1 3W,0,30,24,4,29,1,0.8,0.13333333333333333,0.9666666666666667,D1,3,control,0,D13c,Mv,seedling,0.08650762619798186,0.05697770051943358,0.217383401830371
D1 8W,0,30,29,3,12,1,0.9666666666666667,0.1,0.4,D1,8,control,0,D18c,Mv,seedling,0.01055483691799492,0.04625563531389713,0.2184405132296865
D2 2F,0,30,23,2,16,1,0.7666666666666667,0.06666666666666667,0.5333333333333333,D2,2,fungicide,1,D22f,Mv,seedling,0.00195285713552007,3.2024449840530836e-4,0.00216336057877214
D2 3W,0,30,22,6,9,1,0.7333333333333333,0.2,0.3,D2,3,control,0,D23c,Mv,seedling,2.313049061768456e-4,0.00350571167100269,0.01469252548209307
D2 4F,0,30,27,0,6,1,0.9,0,0.2,D2,4,fungicide,1,D24f,Mv,seedling,1.315968876569449e-4,0.00618939232665321,0.04621759677226956
D3 3F,0,30,27,4,10,1,0.9,0.13333333333333333,0.3333333333333333,D3,3,fungicide,1,D33f,Mv,seedling,0.00421391412957539,0.01897273552443168,0.04726580939640971
D3 5F,0,30,28,5,7,1,0.9333333333333333,0.16666666666666666,0.23333333333333334,D3,5,fungicide,1,D35f,Mv,seedling,0.0089466467559473,0.01519268089825339,0.00552507911947306
D3 5W,0,30,28,3,21,1,0.9333333333333333,0.1,0.7,D3,5,control,0,D35c,Mv,seedling,0.00531359736693929,0.12436127792687998,0.32624380404616565
D3 7W,0,30,15,9,9,1,0.5,0.3,0.3,D3,7,control,0,D37c,Mv,seedling,9.155758668317448e-4,0.07404100740274987,0.3849313799541108
D4 3W,0,30,24,1,10,1,0.8,0.03333333333333333,0.3333333333333333,D4,3,control,0,D43c,Mv,seedling,0.00102008081293437,0.11443475743793804,0.21660340775006243
D4 4F,0,30,25,0,9,1,0.8333333333333334,0,0.3,D4,4,fungicide,1,D44f,Mv,seedling,4.904173872445465e-4,0.00102170070602293,0.00475115906708899
D4 9F,0,30,22,7,6,1,0.7333333333333333,0.23333333333333334,0.2,D4,9,fungicide,1,D49f,Mv,seedling,6.855017342264333e-4,0.01283864781965277,0.03073143324367555
P1 10W,0,30,27,4,11,1,0.9,0.13333333333333333,0.36666666666666664,D1,10,control,0,D110c,Mv,seedling,0.02440635599117836,0.0519596037486857,0.12204073659885609
D1 5F,0,30,26,0,9,1,0.8666666666666667,0,0.3,D1,5,fungicide,1,D15f,Mv,seedling,0.00389029701340421,0.00454265060621286,0.00395825586307558
D1 6W,0,29,23,2,4,1,0.7931034482758621,0.06896551724137931,0.13793103448275862,D1,6,control,0,D16c,Mv,seedling,0.00305888721937121,0.05568569222652349,0.14850818472865718
D1 7F,0,29,28,1,28,1,0.9655172413793104,0.034482758620689655,0.9655172413793104,D1,7,fungicide,1,D17f,Mv,seedling,0.00289355565129446,7.426539185600485e-4,0.02195406047616829
D1 8F,0,30,29,1,12,1,0.9666666666666667,0.03333333333333333,0.4,D1,8,fungicide,1,D18f,Mv,seedling,0.01509051924185291,0.00661424080866636,0.00776215126322985
D1 9F,0,30,27,0,23,1,0.9,0,0.7666666666666667,D1,9,fungicide,1,D19f,Mv,seedling,0.00929219290969618,0.01328960404495917,0.01351316395735152
D2 4W,0,30,20,0,7,1,0.6666666666666666,0,0.23333333333333334,D2,4,control,0,D24c,Mv,seedling,0.00216542109631385,0.04558115596100679,0.10389549145847908
D2 5W,0,30,30,0,13,1,1,0,0.43333333333333335,D2,5,control,0,D25c,Mv,seedling,0.00293851836273634,0.10314856633329002,0.28107058551699066
D2 7W,0,30,23,2,8,1,0.7666666666666667,0.06666666666666667,0.26666666666666666,D2,7,control,0,D27c,Mv,seedling,0.01660586916992565,0.10949466421957615,0.4094858638281606
D3 2F,0,30,28,3,12,1,0.9333333333333333,0.1,0.4,D3,2,fungicide,1,D32f,Mv,seedling,7.051355168806642e-4,0.01808271827427257,0.3001715604032139
D3 3W,0,30,24,6,10,1,0.8,0.2,0.3333333333333333,D3,3,control,0,D33c,Mv,seedling,0.00896663218345423,0.19759647814158657,0.403509678212284
D2 5F,0,30,23,2,3,1,0.7666666666666667,0.06666666666666667,0.1,D2,5,fungicide,1,D25f,Mv,seedling,0.00277549268890265,0.0064170493040595,0.02914060956311884
D2 7F,0,30,19,1,9,1,0.6333333333333333,0.03333333333333333,0.3,D2,7,fungicide,1,D27f,Mv,seedling,6.771155147810194e-4,3.143986828780276e-4,0.00341027088774346
D3 10W,0,30,17,8,6,1,0.5666666666666667,0.26666666666666666,0.2,D3,10,control,0,D310c,Mv,seedling,0.01538130550012609,0.02626784284357301,0.09363456222325511
D4 5W,0,30,19,4,1,1,0.6333333333333333,0.13333333333333333,0.03333333333333333,D4,5,control,0,D45c,Mv,seedling,7.286542477611277e-4,0.02233585592508012,0.05461657353848931
D2 6W,0,30,25,4,1,1,0.8333333333333334,0.13333333333333333,0.03333333333333333,D2,6,control,0,D26c,Mv,seedling,0.00122773343892772,0.05316319510284186,0.0908086512445656
D3 4W,0,30,5,6,4,1,0.16666666666666666,0.2,0.13333333333333333,D3,4,control,0,D34c,Mv,seedling,0.00502332594302471,0.04528982406868492,0.3386116565841314
D3 6W,0,30,16,6,3,1,0.5333333333333333,0.2,0.1,D3,6,control,0,D36c,Mv,seedling,0.00101102338369951,0.06089964276745863,0.2796659743909573
D4 1W,0,30,15,4,2,1,0.5,0.13333333333333333,0.06666666666666667,D4,1,control,0,D41c,Mv,seedling,0.00243230647585235,0.05097180658371395,0.19004957934340275
D1 5W,1,30,28,1,3,1,0.9333333333333333,0.03333333333333333,0.1,D1,5,control,0,D15c,Mv,seedling,0.00383446003329143,NA,0.01882636954503249
D2 10F,1,30,28,1,3,1,0.9333333333333333,0.03333333333333333,0.1,D2,10,fungicide,1,D210f,Mv,seedling,0.00118519712329401,8.870756877446014e-4,NA
D4 4W,1,30,26,7,1,1,0.8666666666666667,0.23333333333333334,0.03333333333333333,D4,4,control,0,D44c,Mv,seedling,0.00104131316286739,0.06844452014008054,0.31324104781298423
D1 3F,1,30,25,0,3,1,0.8333333333333334,0,0.1,D1,3,fungicide,1,D13f,Mv,seedling,6.618686825729315e-5,5.139692018684986e-4,0.00125318750976562
D4 10W,1,30,22,23,1,1,0.7333333333333333,0.7666666666666667,0.03333333333333333,D4,10,control,0,D410c,Mv,seedling,8.242659867208604e-4,0.05292049166981681,0.2431616904918072
D2 9F,1,30,25,0,13,1,0.8333333333333334,0,0.43333333333333335,D2,9,fungicide,1,D29f,Mv,seedling,0.00151957000018627,0.00179992651155641,0.02459196875202255
D3 7F,1,30,27,3,5,1,0.9,0.1,0.16666666666666666,D3,7,fungicide,1,D37f,Mv,seedling,0.00510808276050877,0.02267429069870664,0.03714796695339698
D1 1F,1,29,28,0,11,1,0.9655172413793104,0,0.3793103448275862,D1,1,fungicide,1,D11f,Mv,seedling,1.3100255347870275e-4,NA,4.6358827347197545e-4
D2 6F,1,29,26,2,6,1,0.896551724137931,0.06896551724137931,0.20689655172413793,D2,6,fungicide,1,D26f,Mv,seedling,0.00144412439880803,0.01616741821360655,0.01367442612272235
D3 1W,1,30,25,7,6,1,0.8333333333333334,0.23333333333333334,0.2,D3,1,control,0,D31c,Mv,seedling,0.00100670877237099,0.12460607657761526,0.32721179001012796
D1 7W,1,30,26,7,5,1,0.8666666666666667,0.23333333333333334,0.16666666666666666,D1,7,control,0,D17c,Mv,seedling,0.03186966526189141,0.05454303082169625,0.2188654278207228
D2 8F,1,29,24,1,7,1,0.8275862068965517,0.034482758620689655,0.2413793103448276,D2,8,fungicide,1,D28f,Mv,seedling,0.01314277385346298,0.01181283103677463,0.04869342471475273
D2 2W,1,30,24,0,5,1,0.8,0,0.16666666666666666,D2,2,control,0,D22c,Mv,seedling,0.00911926022772431,0.04712783376566882,0.3818708230396592
D4 3F,1,30,16,3,5,1,0.5333333333333333,0.1,0.16666666666666666,D4,3,fungicide,1,D43f,Mv,seedling,0.00242360909365496,0.02698814627417277,0.11472996741092804
D4 1F,1,30,17,2,6,1,0.5666666666666667,0.06666666666666667,0.2,D4,1,fungicide,1,D41f,Mv,seedling,0.00475529978720576,0.00251994523965152,0.01717811474792304
D3 2W,1,27,20,4,4,1,0.7407407407407407,0.14814814814814814,0.14814814814814814,D3,2,control,0,D32c,Mv,seedling,0.0169537282531239,0.13761088491887866,0.30537140974387617
D4 6F,1,30,24,5,4,1,0.8,0.16666666666666666,0.13333333333333333,D4,6,fungicide,1,D46f,Mv,seedling,NA,0.0032238789551582,0.0070181460420483
D3 8F,1,30,18,5,8,1,0.6,0.16666666666666666,0.26666666666666666,D3,8,fungicide,1,D38f,Mv,seedling,0.00494144744936312,0.01248177469712585,0.0109238145909115
D1 4F,1,30,18,6,7,1,0.6,0.2,0.23333333333333334,D1,4,fungicide,1,D14f,Mv,seedling,0.01474936580104506,0.02364029828023582,0.03872531008914876
D3 1F,1,33,23,2,29,1,0.696969696969697,0.06060606060606061,0.8787878787878788,D3,1,fungicide,1,D31f,Mv,seedling,0.00157904446569795,0.01444289504416465,0.03903353470093983
D1 10F,1,30,28,1,6,1,0.9333333333333333,0.03333333333333333,0.2,D1,10,fungicide,1,D110f,Mv,seedling,0.00350660299426269,0.00328464227998041,0.0121060842696499
D3 4F,1,30,25,2,7,1,0.8333333333333334,0.06666666666666667,0.23333333333333334,D3,4,fungicide,1,D34f,Mv,seedling,0.01800229466906221,0.03176179790011902,0.04097697387323718
D4 7F,1,30,26,7,7,1,0.8666666666666667,0.23333333333333334,0.23333333333333334,D4,7,fungicide,1,D47f,Mv,seedling,6.654292911265898e-5,0.00434226677994348,0.01402657698546152
D1 6F,1,30,24,1,4,1,0.8,0.03333333333333333,0.13333333333333333,D1,6,fungicide,1,D16f,Mv,seedling,0.0057146510921989,NA,NA
D1 4W,1,30,27,3,5,1,0.9,0.1,0.16666666666666666,D1,4,control,0,D14c,Mv,seedling,8.896905578971758e-5,0.00460253170294909,0.03964462616826868
D3 10F,1,30,20,2,11,1,0.6666666666666666,0.06666666666666667,0.36666666666666664,D3,10,fungicide,1,D310f,Mv,seedling,6.546427956162787e-4,0.01994198461310688,0.04491877416429894
D4 6W,1,30,26,5,5,1,0.8666666666666667,0.16666666666666666,0.16666666666666666,D4,6,control,0,D46c,Mv,seedling,4.4782308942075593e-4,0.01098057841493242,0.18166852501016784
D4 2F,1,30,23,1,2,1,0.7666666666666667,0.03333333333333333,0.06666666666666667,D4,2,fungicide,1,D42f,Mv,seedling,3.0649411258392567e-4,0.01804598692922691,0.01058719864127326
D4 9W,1,30,21,4,5,1,0.7,0.13333333333333333,0.16666666666666666,D4,9,control,0,D49c,Mv,seedling,0.00167103296848208,0.0532513897743751,0.1098768260790557
D4 7W,1,30,8,8,5,1,0.26666666666666666,0.26666666666666666,0.16666666666666666,D4,7,control,0,D47c,Mv,seedling,0.00196194396366458,0.03335244747183497,0.2072619247009459
D2 9W,1,30,24,3,4,1,0.8,0.1,0.13333333333333333,D2,9,control,0,D29c,Mv,seedling,0.0024091253865453,0.03106270198986194,0.069845944138676
D4 2W,1,30,16,3,4,1,0.5333333333333333,0.1,0.13333333333333333,D4,2,control,0,D42c,Mv,seedling,0.0033456174955869,0.03800497617336958,0.28808662577886474
D2 4W,1,29,15,18,3,1,0.5172413793103449,0.6206896551724138,0.10344827586206896,D2,4,control,0,D24c,Mv,seedling,0.00216542109631385,0.04558115596100679,0.10389549145847908
D3 9F,1,30,20,2,6,1,0.6666666666666666,0.06666666666666667,0.2,D3,9,fungicide,1,D39f,Mv,seedling,0.00127012040079155,0.01560030731879208,0.06395831970594765
D3 6F,1,30,20,4,9,1,0.6666666666666666,0.13333333333333333,0.3,D3,6,fungicide,1,D36f,Mv,seedling,0.00216084049474356,0.00608762053014459,NA
D1 10W,2,30,21,4,7,1,0.7,0.13333333333333333,0.23333333333333334,D1,10,control,0,D110c,Mv,seedling,0.02440635599117836,0.0519596037486857,0.12204073659885609
D1 1F,2,30,24,0,5,1,0.8,0,0.16666666666666666,D1,1,fungicide,1,D11f,Mv,seedling,1.3100255347870275e-4,NA,4.6358827347197545e-4
D1 1W,2,30,21,5,5,1,0.7,0.16666666666666666,0.16666666666666666,D1,1,control,0,D11c,Mv,seedling,0.00142286217881188,0.03090062565907514,0.2108592619776045
D1 2F,2,30,23,1,8,1,0.7666666666666667,0.03333333333333333,0.26666666666666666,D1,2,fungicide,1,D12f,Mv,seedling,0.01232302371805507,0.00266746978686881,0.02918501655847537
D1 2W,2,30,20,1,21,1,0.6666666666666666,0.03333333333333333,0.7,D1,2,control,0,D12c,Mv,seedling,0.02286846130339777,0.02878958409120706,0.191726029312149
D1 3F,2,30,15,2,6,1,0.5,0.06666666666666667,0.2,D1,3,fungicide,1,D13f,Mv,seedling,6.618686825729315e-5,5.139692018684986e-4,0.00125318750976562
D1 3W,2,30,17,2,4,1,0.5666666666666667,0.06666666666666667,0.13333333333333333,D1,3,control,0,D13c,Mv,seedling,0.08650762619798186,0.05697770051943358,0.217383401830371
D1 4F,2,30,12,5,4,1,0.4,0.16666666666666666,0.13333333333333333,D1,4,fungicide,1,D14f,Mv,seedling,0.01474936580104506,0.02364029828023582,0.03872531008914876
D1 4W,2,30,18,0,5,1,0.6,0,0.16666666666666666,D1,4,control,0,D14c,Mv,seedling,8.896905578971758e-5,0.00460253170294909,0.03964462616826868
D1 5F,2,30,25,0,2,1,0.8333333333333334,0,0.06666666666666667,D1,5,fungicide,1,D15f,Mv,seedling,0.00389029701340421,0.00454265060621286,0.00395825586307558
D1 5W,2,30,22,0,1,1,0.7333333333333333,0,0.03333333333333333,D1,5,control,0,D15c,Mv,seedling,0.00383446003329143,NA,0.01882636954503249
D1 6F,2,30,27,0,4,1,0.9,0,0.13333333333333333,D1,6,fungicide,1,D16f,Mv,seedling,0.0057146510921989,NA,NA
D1 6W,2,30,22,3,4,1,0.7333333333333333,0.1,0.13333333333333333,D1,6,control,0,D16c,Mv,seedling,0.00305888721937121,0.05568569222652349,0.14850818472865718
